id,client_email,telephone,promotion,responded
1,,037-631-4337,End,Yes
2,samantha.williams@example.com,,Name,Yes
3,,632-660-3894,Thank,No
4,krista.lewis@example.com,,Voice,No
5,,061-987-6537,Statement,No
6,,872-523-8238,Arm,No
7,,482-291-5895,Weight,Yes
8,,982-767-9302,Stage,Yes
9,jody.scott@example.com,,Water,Yes
10,,790-003-0812,Arm,No
11,,992-263-5221,Name,Yes
12,,504-621-1837,Statement,No
13,,919-224-5250,Trip,No
14,,889-110-5101,Name,No
15,,497-389-9020,Allow,Yes
16,patrick.johnson@example.com,,Live,No
17,anna.powell@example.com,,Name,No
18,,509-688-8325,Full,Yes
19,jennifer.kim@example.com,,Common,Yes
20,marc.phillips@example.com,,Allow,No
21,,651-629-9935,Appear,Yes
22,christopher.martinez@example.com,,Trip,Yes
23,,819-087-1539,End,Yes
24,,625-502-0025,Trip,Yes
25,melinda.coleman@example.com,,Statement,Yes
26,lisa.brewer@example.com,,Red,Yes
27,michael.barnes@example.com,,Red,No
28,,181-617-4314,Voice,Yes
29,,760-741-6433,Stage,Yes
30,amanda.duncan@example.com,,Appear,No
31,terri.wilson@example.com,,Voice,Yes
32,lisa.simpson@example.com,,Thank,No
33,,420-761-0969,Weight,Yes
34,,036-695-4898,Red,No
35,erik.irwin@example.com,,End,No
36,thomas.rhodes@example.com,,Name,No
37,,788-624-1606,Appear,No
38,,723-617-3538,Fall,Yes
39,,961-803-8462,Statement,No
40,derek.downs@example.com,,Voice,No
41,,425-062-0746,Name,Yes
42,,391-133-2599,Allow,Yes
43,,359-376-9052,Name,Yes
44,stephanie.hernandez@example.com,,Allow,No
45,,834-002-6416,Live,Yes
46,,762-814-1476,Full,Yes
47,,591-915-6449,Appear,No
48,,756-776-3373,Stage,Yes
49,brittany.malone@example.com,,Full,Yes
50,,245-851-3582,Voice,Yes
51,margaret.simpson@example.com,,Water,Yes
52,douglas.tate@example.com,,Weight,No
53,,557-977-3656,Fall,Yes
54,,388-408-6454,Weight,No
55,,412-031-2731,Identify,No
56,,980-992-7779,Weight,Yes
57,,153-204-4750,Voice,Yes
58,,362-638-4227,Arm,Yes
59,,296-294-6102,Weight,No
60,kimberly.proctor@example.com,,Fall,No
61,,039-626-7481,Trip,Yes
62,,476-970-7611,Common,Yes
63,,757-165-5339,Arm,No
64,,589-743-9212,Water,No
65,ann.ray@example.com,,Trip,No
66,brianna.moran@example.com,,Stage,No
67,,471-559-8586,Full,Yes
68,,138-378-5418,Arm,No
69,,644-636-7449,Fall,Yes
70,,084-408-3278,Name,No
71,laura.reynolds@example.com,,Name,Yes
72,,135-425-4353,Allow,Yes
73,william.hansen@example.com,,Voice,No
74,nicholas.carroll@example.com,,Live,Yes
75,joshua.calhoun@example.com,,Live,Yes
76,steven.jensen@example.com,,End,No
77,,195-885-1153,End,Yes
78,alexandra.green@example.com,,Type,Yes
79,,259-223-9624,Appear,No
80,,332-283-4191,Fall,Yes
81,vickie.duran@example.com,,World,No
82,,638-072-3160,Live,No
83,steven.landry@example.com,,Type,No
84,crystal.reynolds@example.com,,Identify,No
85,nicole.smith2@example.com,,Live,Yes
86,,721-999-7961,Allow,Yes
87,brent.reed@example.com,,Arm,Yes
88,,239-354-5564,Trip,Yes
89,tina.brown@example.com,,Thank,No
90,lisa.schaefer@example.com,,End,Yes
91,sara.bray@example.com,,Red,No
92,,178-542-8114,Type,Yes
